#       omega                  E                         P                            alpha             
    -1.08308e+02     4.506302e+00+3.731060e-05j   2.799354e+03+3.482183e+03j            7.727311e+02          
    -1.07908e+02     4.528851e+00+3.788270e-05j   2.820421e+03+3.498821e+03j            7.725574e+02          
    -1.07508e+02     4.551429e+00+3.844007e-05j   2.841579e+03+3.515498e+03j            7.723890e+02          
    -1.07107e+02     4.574035e+00+3.898249e-05j   2.862827e+03+3.532213e+03j            7.722261e+02          
    -1.06707e+02     4.596668e+00+3.950974e-05j   2.884165e+03+3.548967e+03j            7.720684e+02          
    -1.06306e+02     4.619328e+00+4.002159e-05j   2.905593e+03+3.565759e+03j            7.719162e+02          
    -1.05906e+02     4.642014e+00+4.051786e-05j   2.927111e+03+3.582589e+03j            7.717693e+02          
    -1.05506e+02     4.664725e+00+4.099832e-05j   2.948718e+03+3.599457e+03j            7.716277e+02          
    -1.05105e+02     4.687460e+00+4.146279e-05j   2.970414e+03+3.616362e+03j            7.714916e+02          
    -1.04705e+02     4.710220e+00+4.191109e-05j   2.992198e+03+3.633305e+03j            7.713607e+02          
    -1.04304e+02     4.733002e+00+4.234301e-05j   3.014071e+03+3.650285e+03j            7.712353e+02          
    -1.03904e+02     4.755806e+00+4.275840e-05j   3.036032e+03+3.667302e+03j            7.711152e+02          
    -1.03504e+02     4.778632e+00+4.315707e-05j   3.058080e+03+3.684355e+03j            7.710004e+02          
    -1.03103e+02     4.801479e+00+4.353887e-05j   3.080216e+03+3.701445e+03j            7.708911e+02          
    -1.02703e+02     4.824346e+00+4.390363e-05j   3.102438e+03+3.718571e+03j            7.707870e+02          
    -1.02302e+02     4.847232e+00+4.425122e-05j   3.124747e+03+3.735734e+03j            7.706884e+02          
    -1.01902e+02     4.870137e+00+4.458147e-05j   3.147141e+03+3.752932e+03j            7.705951e+02          
    -1.01502e+02     4.893059e+00+4.489427e-05j   3.169622e+03+3.770166e+03j            7.705072e+02          
    -1.01101e+02     4.915998e+00+4.518947e-05j   3.192187e+03+3.787435e+03j            7.704246e+02          
    -1.00701e+02     4.938954e+00+4.546696e-05j   3.214838e+03+3.804740e+03j            7.703474e+02          
    -1.00300e+02     4.961925e+00+4.572662e-05j   3.237573e+03+3.822079e+03j            7.702756e+02          
    -9.98999e+01     4.984911e+00+4.596834e-05j   3.260391e+03+3.839454e+03j            7.702091e+02          
    -9.94995e+01     5.007911e+00+4.619202e-05j   3.283293e+03+3.856863e+03j            7.701480e+02          
    -9.90991e+01     5.030924e+00+4.639756e-05j   3.306279e+03+3.874306e+03j            7.700922e+02          
    -9.86987e+01     5.053949e+00+4.658488e-05j   3.329346e+03+3.891783e+03j            7.700419e+02          
    -9.82983e+01     5.076985e+00+4.675389e-05j   3.352496e+03+3.909294e+03j            7.699969e+02          
    -9.78979e+01     5.100033e+00+4.690453e-05j   3.375727e+03+3.926838e+03j            7.699572e+02          
    -9.74975e+01     5.123090e+00+4.703672e-05j   3.399040e+03+3.944416e+03j            7.699230e+02          
    -9.70971e+01     5.146156e+00+4.715042e-05j   3.422433e+03+3.962027e+03j            7.698941e+02          
    -9.66967e+01     5.169231e+00+4.724556e-05j   3.445906e+03+3.979670e+03j            7.698705e+02          
    -9.62963e+01     5.192313e+00+4.732210e-05j   3.469458e+03+3.997346e+03j            7.698524e+02          
    -9.58959e+01     5.215402e+00+4.738002e-05j   3.493089e+03+4.015055e+03j            7.698396e+02          
    -9.54955e+01     5.238497e+00+4.741927e-05j   3.516799e+03+4.032795e+03j            7.698322e+02          
